BCD51D83D9479E44C622C92EBF49BB2C6529D695	64
C61BC14ACFF2387CCF1FCE7A0AAAC2C70E91C42B	34940	 shared

4E04E88EC7250DE84A1E788AE69FDAD9351330A8	33368	 shared

3BC9E416D3FA86D0A099B82ECE0AA7EFF8F59A68	15352	 shared
0BC631BED4205F18A005950FC746A53CD4E7307B	23712	 shared
EB3DBEA9DCBF57E446354AE2BDE1D88C656C90A7	10896	 shared
00EF2F8BBCD208EB5E64CD916554405AD34ECFD5	172344	 shared
E473FDA035151240D6A6F53C50369D2414C36F4D	373156	 shared

79A9F215EA9B38FD085DA32720A7D39818C8701D	71844	 shared
D1F60D8643C8DCB472D8415A2E458A64BC5D14DC	447920	 shared

1D185355815BF64C45717135E654033BAB0C93BC	42572	 shared
FF380D0188FD0730BAF837D4783EA6A18C847B27	19184	 shared
5137D0393C98097F0D59706D1CEEC22F7548D60C	521008	 shared
7B17976FC20D77DA12CAE436AD72FE8D121AB4D2	10412	 shared
5D0825CADAB073A6594449CB370C66D153CA11C2	11632	 shared
8A14375F689095C279AEE90EBCE8B37D0C39E467	7208	 shared
D3C23A172AFF837805F4E6B2DB1372AE936CE4ED	10676	 shared
CC776639562BA298D66598EFE0340B4255BF4B6C	11516	 shared

2D0239D07180CA98BF51F5F2DE1AA9D13E96E5A8	168920	 shared
